丨	aaai
丿	aaaj
丶	aaal
卩	aadi
冂	aaid
刂	aaij
勹	aajd
亻	aaji
匚	aakq
冫	aalk
亠	aalk
冖	aalz
讠	aalz
凵	aaqi
阝	aawi
纟	acck
丬	alki
疒	alkl
氵	allk
灬	alll
宀	allz
礻	alzi
衤	alzi
辶	alzl
虍	aikz
忄	aill
犭	ajjj
彡	ajjj
攵	ajkj
钅	ajkk
饣	ajzc
夂	ajzl
艹	akii
廾	akji
扌	akjk
屮	aqii
彐	atkk
肀	atkk
廴	awll
衣	a
竹	aa
笪	aabk
簪	aacb
篆	aacc
筐	aace
篚	aaci
篥	aacm
笞	aaco
笸	aaco
簟	aacr
箧	aacy
箅	aadi
笥	aado
笤	aado
笆	aadu
簋	aaeh
箫	aaei
笋	aaej
篡	aafc
算	aafh
篾	aafl
筚	aafr
箩	aafs
纂	aafw
竺	aag
箸	aagb
筠	aagd
等	aagl
笺	aagl
箐	aagn
箦	aagy
篝	aahg
箭	aahj
筑	aahl
箬	aaho
筇	aahp
簧	aahy
箕	aahy
筮	aahy
簸	aahz
箔	aaib
笛	aaid
筛	aaie
篮	aaih
簿	aail
筅	aajb
篼	aajb
篁	aaje
笔	aajf
篦	aajf
笙	aajg
笊	aajl
笈	aajq
筵	aajq
笑	aajv
笄	aakh
竿	aakr
竽	aakr
策	aakw
筻	aakx
籁	aaky
簌	aaky
简	aalb
簏	aalf
篇	aalh
箱	aamf
笨	aamk
笕	aanb
箜	aanh
筒	aano
筋	aanp
箢	aanp
管	aanu
篑	aaoy
篪	aapj
笳	aapo
笾	aapq
籍	aarb
籀	aard
箍	aare
箝	aark
筘	aaro
箨	aarr
筢	aaru
笫	aasi
笏	aasj
筝	aasj
箴	aasl
笱	aaso
篷	aasq
筏	aatl
符	aatl
笃	aats
筱	aats
篌	aatv
筹	aavl
笼	aavl
第	aawi
筲	aawn
筷	aawv
簦	aaxh
笮	aaya
筌	aaye
签	aayk
答	aayo
箪	aayr
簖	aayt
篓	aayx
笠	aaz
饩	aaz
篱	aazc
篙	aazo
簇	aazv
馄	abff
馒	abfz
神	abi
袒	abk
裸	abm
裼	absj
褐	absq
祧	abx
蚀	ac
馏	acdd
祗	ackl
饴	aco
初	ad
褶	addb
祠	adko
饲	adko
缶	ae
裉	aea
褪	aeaq
馊	aeez
缸	aeh
罐	aehg
禄	aei
制	aej
裙	aejo
掣	aejr
罅	aepj
缺	aetv
饵	afr
社	ag
裱	aga
褂	aggi
褚	agjb
饯	agxl
馍	ahbv
饼	ahh
祺	ahky
馓	ahns
馑	ahog
袢	ahr
褡	ahyo
补	ai
袖	aid
褴	aiih
祯	ainy
饥	aj
裨	ajbi
衫	ajjj
褫	ajpj
衽	ajrk
饪	ajrk
饿	ajrl
饭	ajs
祈	ajt
袄	ajv
饫	ajv
馁	ajx
饨	ake
褙	akfn
袜	akkm
福	akod
祆	akv
饶	akxb
裥	alnb
褊	alph
裤	alsr
馇	ambk
襟	ammw
襻	amxr
视	anb
祖	ank
饷	ano
馆	anpu
衲	any
裔	anyo
祝	aob
裎	aoe
馈	aogy
祸	aony
祁	ap
裾	apro
被	apz
祛	arc
禊	ardv
禧	arko
衬	arl
饽	arnk
祜	aro
馕	aroa
饱	ascu
馅	asee
褥	askl
馋	asol
袼	asqo
袍	asuu
祢	asw
饮	asy
褓	atom
袂	atv
袱	atvl
襦	atxi
礼	au
祀	auu
馔	auuy
祉	av
卸	avp
祷	avrl
裢	avrq
祓	avzl
裆	awe
饧	awjj
襁	awoc
禅	aybr
饰	aye
禚	ayew
裣	aykk
馀	aykm
袷	ayko
衿	aylz
褛	aymx
饬	aypp
祥	ayt
馐	aytg
裕	ayyo
气	az
氲	azbh
氤	azdv
氙	aze
氯	azei
氰	azgn
氕	azj
氚	azji
氘	azji
氖	azjw
氩	azkk
衩	azl
氨	aznx
禳	azoa
氪	azrb
氡	azsl
氟	azwi
氛	azyd
氧	azyt
饺	azyx
氮	azyy
氢	azzh
氦	azzy
裰	azzz
日	b
昌	bb
晶	bbb
曝	bbhi
晁	bbx
晒	bcc
昴	bcjp
昂	bcp
曜	bddg
遢	bddq
昭	bdo
照	bdow
旺	be
曳	bf
昆	bff
曙	bfgb
最	bfrz
曼	bfz
里	bg
墅	bgdg
野	bgdj
暑	bgjb
晴	bgn
暴	bhyi
申	bi
曲	bii
显	biik
畅	biwj
星	bjg
戥	bjgl
曛	bjkw
暧	bjnz
昕	bjt
暖	bjtz
旦	bk
量	bkbg
昙	bkc
晟	bkdl
昧	bkm
晡	bkni
旰	bkr
旱	bkr
昊	bkv
是	bkv
匙	bkvf
韪	bkvp
题	bkvy
晓	bkxb
旷	bls
杲	bm
果	bm
晰	bmjt
夥	bmss
颗	bmty
明	bn
暝	bnby
禺	bnc
遇	bncq
愚	bncu
暄	bnkk
盟	bnnh
晌	bno
映	bnv
晖	bnvr
晕	bnvr
晏	bnx
暇	bpgz
昵	bpf
早	br
时	brl
昀	bsd
剔	bsjj
易	bsjj
晨	bska
晚	bsob
煦	bsow
晷	bsqo
昃	bsy
遏	bsyq
曷	bsyq
歇	bsyy
晔	btfr
晤	btho
暹	btzq
电	bu
旯	bu
晃	bwkb
胤	bwn
兆	bx
暌	bxkv
逃	bxq
鼗	bxrz
晦	bydr
曦	byel
昨	byk
晗	bylo
炅	byy
昱	bz
暗	bzb
曩	bzoa
景	bzw
晾	bzw
影	bzwj
暾	bzws
颢	bzwy
虫	c
匹	cb
允	cb
蛐	cbii
蜾	cbm
蜴	cbsj
蝎	cbsq
郾	cbxp
西	cc
覃	ccbr
巛	ccc
甾	cccd
垒	cccg
剿	cccj
巢	cccm
邋	cccq
巡	cccq
邕	cccu
螵	cccw
蛭	ccg
剽	ccgj
瓢	ccgl
甄	ccgl
鄄	ccgp
票	ccgw
飘	ccgx
蚜	cci
蛑	ccjr
覆	ccjs
酉	cck
栗	ccm
贾	ccny
要	ccx
粟	ccym
留	cdd
遛	cddq
蝈	cdel
匣	cdi
蛹	cdn
贸	cdny
蛔	cdo
螺	cdww
匡	ce
匝	ce
螋	ceez
蚍	cff
蠼	cffz
至	cg
蛙	cgg
到	cgj
蜻	cgn
郅	cgp
致	cgs
臻	cgvm
弁	ch
虹	ch
互	ch
蜡	chb
螬	chbb
蟆	chbv
蠛	chfl
蟥	chiy
蠡	chjc
彖	chjc
蚶	chk
蜞	chky
蠓	chnc
蝾	chnm
螨	chny
蝶	chqm
蠖	chtz
蟒	chvh
匿	chvo
蜷	chvp
慝	chvu
彘	chyf
彝	chyh
牙	ci
蚰	cid
匪	cii
蛳	cije
鸦	cioq
邪	cip
孵	cipk
卵	cipl
迓	ciq
雅	citg
虮	cj
蝗	cjbe
蜱	cjbi
卿	cjep
螅	cjfu
蚝	cjkf
蟠	cjmd
蜊	cjmj
蝌	cjmr
蟋	cjmu
蚯	cjo
卯	cjp
蛾	cjrl
蛞	cjro
蜓	cjrq
牟	cjrr
匠	cjt
蜒	cjvq
蜉	cjwk
蟪	ckbu
蛱	ckhy
虾	cki
蝠	ckod
蜮	ckol
鸱	ckoq
氏	cku
昏	ckub
氐	ckul
邸	ckup
蛲	ckxb
厶	cl
虻	clc
蛀	cle
螂	clep
蚪	cllr
蝙	clph
匾	clph
蠊	clsi
螗	clso
以	cly
蜥	cmjt
蚬	cnb
螟	cnby
蛇	cnf
能	cnff
熊	cnfw
蚺	cng
蜩	cngo
蛊	cnh
蛆	cnk
蜿	cnsp
蚋	cny
叵	co
台	co
蝇	cobu
匮	cogy
蜈	cokv
蜗	cony
邰	cop
迨	coq
怠	cowu
炱	coyy
迎	cpq
蚌	cr
蟛	crkj
蝻	crnr
蛄	cro
蝴	cron
螈	csjw
蛎	cskd
蟓	csoc
蜂	csqr
蟾	cssl
蚵	cto
蚂	cts
蠕	ctxi
巨	cu
虬	cu
蝽	cvb
畚	cvd
蝰	cvgg
叁	cvgk
毵	cvjf
参	cvjj
螓	cvjm
匦	cvru
蚨	cvv
乐	cw
蚓	cwi
蜢	cwkh
蛸	cwn
螳	cwng
蚴	cwpp
区	cx
瓯	cxcl
殴	cxjz
蚁	cxl
鸥	cxoq
欧	cxsy
臣	cy
蝉	cybr
蝮	cybs
蚣	cyc
蜣	cyeb
赜	cygy
卧	cyi
蚧	cyji
蚱	cyk
蛤	cykd
蝓	cykj
蜍	cykm
蛉	cyld
蛛	cym
蝼	cymx
蜕	cyob
逡	cysq
皴	cysz
蛘	cyt
蟮	cyto
颐	cyty
蝤	cyu
熙	cyuw
医	cyv
矣	cyv
翳	cyvd
蜘	cyvo
虼	cyz
蟑	czbr
蝣	czdk
蛏	czg
瓦	czl
蟀	czwr
蚊	czx
螭	czxc
蛴	czxi
蛟	czyx
螃	czzd
田	d
畏	da
四	db
冱	dch
冶	dco
习	dd
囗	dddd
羽	dddd
翟	dddg
羿	dddh
戳	dddl
戮	dddl
翠	dddr
翼	dddy
翌	dddz
鹨	ddoq
国	del
毗	dff
圜	dfka
凝	dfyv
园	dgb
畦	dgg
圉	dghr
圊	dgn
围	dgp
凌	dgys
畔	dhr
圈	dhvp
冰	di
甲	di
鸭	dioq
刀	dj
眉	djf
冼	djgb
鹛	djoq
畈	djs
刁	dk
囤	dke
曰	dkkk
圃	dkni
司	dko
冽	dksj
刃	dl
忍	dlwu
困	dm
凇	dmyc
胃	dn
甬	dn
凋	dngo
勇	dnpp
通	dnq
畹	dnsp
回	do
召	do
况	dob
冲	doi
圆	dony
邵	dop
劭	dopp
迢	doq
男	dpp
嬲	dppp
母	dr
凄	drex
团	drj
贯	drny
固	dro
畋	ds
净	dsej
囫	dsjj
减	dskl
图	dsql
略	dsqo
次	dsy
盗	dsyh
瓷	dsyl
粢	dsym
咨	dsyo
恣	dsyu
姿	dsyx
资	dsyy
町	dt
圄	dtho
畀	dti
冯	dts
决	dtv
准	dtzg
巴	du
乜	du
毋	dv
因	dv
凑	dvkv
畎	dvl
囿	dvn
那	dvp
畴	dvrl
畸	dvto
冻	dvw
恩	dvwu
囝	dwk
思	dwu
累	dww
囡	dx
囚	dy
囵	dyf
界	dyji
畛	dyjj
冷	dyld
囹	dyld
疃	dzbg
凛	dzdw
矛	dzi
蝥	dzic
蟊	dzic
瞀	dzif
柔	dzim
鍪	dziq
婺	dzix
矜	dziz
予	dzj
豫	dzjc
预	dzjy
鹜	dzoq
鹬	dzoq
骛	dzts
凉	dzw
巾	e
艮	ea
垦	eag
退	eaq
恳	eawu
琨	ebff
幔	ebfz
理	ebg
幌	ebwb
珧	ebx
既	eccb
暨	ecck
瑙	eccx
崾	eccx
岈	eci
琊	ecip
峁	ecjp
即	ecp
岖	ecx
峻	ecys
帼	edel
岬	edi
嵋	edjf
崮	edro
岜	edu
崽	edwu
臼	ee
鼢	eecd
鼬	eecd
鼯	eeco
鼠	eecu
鼷	eecv
鼹	eecx
舅	eedp
琶	eedu
琵	eeff
舁	eeh
毁	eehz
叟	eeiz
珏	eel
舄	eesw
璀	eetg
瑞	eeti
瑟	eewf
臾	eey
琴	eeyz
珥	efr
嶷	efyv
玩	egb
帻	egny
帏	egp
玮	egp
峙	egrl
弄	eh
璜	ehiy
琪	ehky
嵌	ehky
嵘	ehnm
崂	ehnp
瑛	ehnv
瑾	ehog
嵫	ehww
珙	ehy
隶	ei
录	ei
岫	eid
班	eie
盥	eieh
幞	eiiv
璞	eiiv
剥	eij
岿	eije
帧	einy
玷	eio
帖	eio
逮	eiq
逯	eiq
璨	eism
玑	ej
尹	ej
瑶	ejae
帕	ejb
珀	ejb
瑰	ejbc
嵬	ejbc
碧	ejbo
璁	ejdu
瓒	ejgy
帆	ejl
巍	ejmc
幡	ejmd
嵊	ejmf
瑷	ejnz
君	ejo
郡	ejop
群	ejot
岌	ejq
峨	ejrl
帐	ejrl
珩	ejtt
踅	ejtv
瑗	ejtz
峤	ejvi
帙	ejvv
岚	ejx
蚩	ekc
岍	ekh
峡	ekhy
球	ekil
豳	ekjc
琢	ekjc
岩	eko
幅	ekod
环	ekw
崃	ekym
玉	el
琉	elcu
琅	elea
瑭	elso
琳	emm
崧	emyc
岘	enb
现	enb
帚	ene
瑁	engb
帽	engf
崇	engw
琮	engw
峒	enko
崩	enn
珊	ennk
琬	ensf
珲	envr
岗	enx
崆	enyh
琛	enym
璎	enyx
噩	eooo
璐	eovo
帜	eoy
印	ep
幄	epcg
崛	epeu
璩	epfc
琥	epfj
瑕	epgz
岷	epku
珉	epku
珈	eppo
琚	epro
玻	epz
帔	epz
珐	erc
寻	erl
巅	erny
岵	ero
瑚	eron
聿	err
建	errq
岐	erz
玫	es
岁	es
峋	esb
峥	esej
崖	esgg
刿	esj
屿	esk
崴	eskl
岸	eskr
玖	esll
岣	eso
珞	esqo
峰	esqr
玎	et
屺	etc
岂	etc
觊	etcb
剀	etcj
凯	etcj
玳	etkl
遄	etnq
颛	etny
顼	etny
珂	eto
岢	eto
玛	ets
崔	etzg
帷	etzg
出	eu
祟	eugw
粜	euym
崦	evbu
帱	evrl
琏	evrq
崭	evrt
崎	evto
琦	evto
岽	evw
珑	evxl
炭	evyy
肃	ewji
峭	ewn
琐	ewny
嶝	exkh
崤	exvn
玢	eyd
珍	eyjj
嵛	eykj
瑜	eykj
玲	eyld
岭	eyld
岑	eylz
珠	eym
嶙	eymi
嵝	eymx
嵯	eyth
嵴	eyxn
灵	eyy
峪	eyyo
琰	eyyy
屹	eyz
幢	ezbg
璋	ezbr
嶂	ezbr
幛	ezbr
璇	ezdv
嵩	ezno
峄	ezrr
琼	ezw
崞	ezwk
玟	ezx
璃	ezxc
斑	ezxe
目	f
旨	fb
眺	fbx
瞟	fccw
眶	fce
眸	fcjr
眙	fco
眍	fcx
睃	fcys
切	fd
眼	fea
睨	feeb
瞍	feez
肆	ferr
比	ff
癯	fffg
皆	ffjb
毙	ffkf
毕	ffr
氍	fftf
瞿	fftg
矍	fftz
毖	ffwf
眭	fgg
睹	fgjb
署	fgjb
睛	fgn
睦	fgyg
瞄	fhd
瞒	fhny
羁	fhts
罩	fibr
罪	fii
颍	fity
罹	fiyg
身	fj
睥	fjbi
躯	fjcx
鬟	fjja
髡	fjjb
髦	fjjf
髭	fjjf
髯	fjjg
髟	fjjj
躲	fjjm
髹	fjjm
髻	fjjo
髫	fjjo
鬈	fjjp
鬣	fjju
鬃	fjjw
鬓	fjjy
鬏	fjjy
睡	fjkg
眨	fjlz
睬	fjm
瞅	fjmy
颖	fjmy
瞬	fjni
射	fjrl
躬	fjw
躺	fjwo
盹	fke
睫	fkev
段	fkjz
鼎	fkk
盱	fkr
罡	fkv
罘	fkw
睐	fkym
詈	fl
罚	flj
眈	fnb
瞑	fnby
瞎	fnro
瞩	fpjc
眠	fpku
耳	fr
罢	frc
瞌	frch
聊	frcp
罴	frcw
联	frhv
聘	fris
聒	frjo
耽	frnb
聃	frng
置	frnk
罱	frnr
聍	frnt
罟	fro
鸨	froq
聩	froy
职	froy
耶	frp
耵	frt
耻	frv
聆	fryd
聪	fryu
耿	fryy
取	frz
聚	frzi
鄹	frzp
娶	frzx
颞	frzy
聂	frzz
罗	fs
蜀	fsc
睁	fsej
睚	fsgg
逻	fsq
眵	fss
瞻	fssl
盯	ft
瞰	ftfs
顷	ftny
眄	ftqd
睢	ftzg
瞧	ftzw
罨	fvbu
眦	fvf
眇	fwj
瞠	fwng
瞪	fxkh
睽	fxkv
盼	fyd
罾	fydb
睑	fykk
眯	fym
瞵	fymi
肄	fyvr
疑	fyvv
睇	fywi
瞳	fzbg
眩	fzw
土	g
表	ga
裁	gaxl
元	gb
塌	gbdd
墁	gbfz
埋	gbg
坤	gbi
坦	gbk
堤	gbkv
鼋	gbou
远	gbq
埘	gbrl
埸	gbsj
顽	gbty
堰	gcbx
堙	gccg
垤	gcg
坻	gckl
埃	gcyv
戴	gdhl
毒	gdr
坶	gdr
纛	gdrw
敖	gds
螯	gdsc
鳌	gdsd
獒	gdsl
遨	gdsq
鏊	gdsq
聱	gdsr
熬	gdsw
赘	gdsy
骜	gdts
垠	gea
埭	gei
埽	gene
垲	getc
戋	gfl
盏	gflh
塄	gfzd
圭	gg
卦	ggi
堵	ggjb
封	ggrl
圬	ggs
恚	ggwu
堪	ghcy
坩	ghk
堞	ghqm
幸	ghr
塔	ghyo
墚	gidm
赤	gii
赭	giib
螫	giic
赫	giii
郝	giip
赦	giis
赧	giiz
盐	ginh
坫	gio
垆	gip
者	gjb
翥	gjbd
埤	gjbi
都	gjbp
煮	gjbw
老	gjf
耆	gjfb
耄	gjff
耋	gjfg
亓	gji
圳	gjii
垢	gjko
垛	gjm
埠	gjpr
圾	gjq
芨	gjq
埒	gjrl
